country,country_code,country_group,indicator,indicator_code,TIME_PERIOD,OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,FREQ,UNIT_MEASURE,UNIT_TYPE
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2003,53.8379,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2004,62.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2005,61.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2006,59.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2007,69.9,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2008,69.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2009,69.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2010,71.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2011,71.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2012,72.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
